C,data_2013,data_2014,data_2015,data_2016,data_2017,data_2018,s,x,y,ch,xx,yy,year
MACEWAN GLEN,76,112,210,168,177,130,N,210,-30
MAHOGANY,186,308,201,266,307,291,SE,600,500
MANCHESTER,172,150,365,444,398,361,C,420,280
MAPLE RIDGE,1586,1436,204,204,182,161,SW,430,350
MARLBOROUGH,926,858,1653,1862,1796,1862,NE,420,110
MARLBOROUGH PARK,875,791,1145,1146,1035,1078,NE,520,120
MARTINDALE,18,24,865,1071,1021,993,NE,490,-20
MAYFAIR,544,661,31,55,20,32,C,330,235
MAYLAND HEIGHTS,526,495,796,951,890,815,NE,500,140
MCKENZIE LAKE,812,865,696,622,547,480,SE,530,440
MCKENZIE TOWNE,292,372,924,1101,1004,843,SE,580,460
MEADOWLARK PARK,249,230,396,468,465,490,C,320,260
MIDNAPORE,570,658,704,630,574,547,SW,320,420
MILLRISE,263,291,437,371,385,343,SW,270,400
MISSION,700,718,878,812,1009,1032,C,430,230
MONTEREY PARK,495,487,598,620,587,564,NE,530,60
MONTGOMERY,811,721,916,871,856,815,NW,130,100
MOUNT PLEASANT,549,556,640,609,566,666,C,250,20
NEW BRIGHTON,373,333,410,488,411,396,SE,550,410
NOLAN HILL,46,58,108,128,158,188,N,60,-100
OAKRIDGE,196,255,286,229,305,269,SW,160,290
OGDEN,908,958,1100,1141,1009,966,SE,500,300
PALLISER,141,123,173,173,193,186,SW,200,300
PANORAMA HILLS,546,541,740,662,689,795,N,220,-80
PARKDALE,131,163,164,184,197,213,C,200,115
PARKHILL,218,343,308,354,307,256,C,390,260
PARKLAND,139,143,205,153,109,126,SW,390,420
PATTERSON,96,116,147,147,175,175,W,100,120
PENBROOKE MEADOWS,1242,1084,1174,1239,1196,1262,E,580,200
PINERIDGE,1232,1300,1404,1442,1566,1459,NE,480,70
POINT MCKAY,38,26,45,38,47,27,C,220,50
PUMP HILL,65,58,69,88,94,99,SW,260,300
QUEENS PARK VILLAGE,37,40,39,50,64,67,C,250,0
QUEENSLAND,243,328,314,344,248,273,SW,450,400
RAMSAY,253,283,278,265,196,280,C,370,90
RANCHLANDS,417,377,457,379,368,406,NW,80,10
RED CARPET,165,224,207,190,227,173,E,580,230
REDSTONE,42,35,71,99,144,156,NE,530,-80
RENFREW,485,580,738,736,812,764,C,400,130
RICHMOND,387,403,444,405,446,394,C,230,150
RIDEAU PARK,25,34,60,45,64,53,C,355,200
RIVERBEND,349,413,406,527,443,516,SE,500,340
ROCKY RIDGE,225,177,254,279,220,190,NW,-20,-30
ROSEDALE,70,95,154,127,125,118,C,330,30
ROSEMONT,76,62,73,105,115,83,C,320,60
ROSSCARROCK,670,596,691,936,968,973,W,180,150
ROXBORO,45,50,35,35,37,38,C,400,250
ROYAL OAK,215,270,389,381,343,345,NW,20,-20
RUNDLE,1075,1044,1216,1123,1046,1380,NE,470,100
RUTLAND PARK,113,138,158,155,182,197,W,220,200
SADDLE RIDGE,585,608,757,889,1158,1051,NE,530,-30
SAGE HILL,92,99,163,181,237,315,N,140,-100
SANDSTONE VALLEY,186,199,332,244,225,154,N,240,-50
SCARBORO,70,100,75,88,99,115,C,280,135
SCARBORO/ SUNALTA WEST,57,53,80,48,48,40,C,280,180
SCENIC ACRES,286,225,268,266,296,248,NW,20,35
SHAGANAPPI,185,309,267,210,248,272,C,220,130
SHAWNEE SLOPES,87,79,115,117,97,102,SW,270,380
SHAWNESSY,1191,1131,1232,1439,1276,1236,SW,300,450
SHERWOOD,75,120,148,164,240,250,N,70,-70
SIGNAL HILL,517,628,601,796,817,900,W,90,210
SILVER SPRINGS,282,301,323,321,343,382,NW,60,50
SILVERADO,179,175,239,244,250,249,SW,350,500
SKYVIEW RANCH,192,211,353,382,525,530,NE,500,-60
SOMERSET,302,320,348,343,300,336,SW,220,460
SOUTH CALGARY,466,461,481,530,557,624,C,270,190
SOUTHVIEW,624,650,786,698,715,642,E,450,200
SOUTHWOOD,746,700,887,941,855,881,SW,330,330
SPRINGBANK HILL,227,279,375,361,337,350,W,30,210
SPRUCE CLIFF,222,394,453,533,520,293,W,160,130
STRATHCONA PARK,195,196,252,238,189,175,W,120,165
SUNALTA,949,1198,1260,1113,1162,1147,C,260,100
SUNDANCE,353,382,380,365,380,307,SW,340,440
SUNNYSIDE,503,452,545,622,794,694,C,320,40
TARADALE,841,705,777,942,960,859,NE,530,0
TEMPLE,1029,892,1176,1196,1108,1072,NE,450,60
THORNCLIFFE,840,739,939,927,866,941,N,340,0
TUSCANY,439,510,567,646,617,515,NW,0,10
TUXEDO PARK,630,668,824,743,735,821,C,410,40
UNIVERSITY HEIGHTS,181,176,176,262,250,288,NW,160,80
UPPER MOUNT ROYAL,140,183,241,251,312,211,C,340,170
VALLEY RIDGE,149,153,176,195,212,193,W,-40,70
VARSITY,680,571,706,683,759,737,NW,100,60
VISTA HEIGHTS,403,354,434,432,458,456,NE,380,100
WALDEN,70,101,152,176,233,276,SW,400,480
WEST HILLHURST,436,483,506,597,543,553,C,220,100
WEST SPRINGS,187,227,270,268,326,291,W,30,150
WESTGATE,136,130,174,186,208,179,W,140,140
WHITEHORN,1084,1011,1161,1078,1138,1179,NE,430,80
WILDWOOD,180,154,196,204,205,150,W,150,120
WILLOW PARK,567,533,694,673,745,637,SW,350,370
WINDSOR PARK,424,361,469,529,576,570,C,320,250
MOUNTVIEW,430,407,666,537,500,538,C,390,60
WOODBINE,317,412,409,381,364,269,SW,200,360
WOODLANDS,362,456,428,453,448,432,SW,260,360
